Manutenzione Ordinaria (Tagliando) (Si/No),Campagna di richiamo/in garanzia (Si/No),Lavorazione per riparazione (Si/No),Raccomandabilità,Soluzione al primo tentativo,Accoglienza,Verifica tempistiche di prenotazione,Fornito Preventivo,Spiegazione lavori effettuati,10 a casa madre,Note cliente
Si,No,No,9,,10,9,Si,9,No,Per la consegna dell'auto gli orari sono differenziati mentre per il ritiro c'è una comunicazione generica dalle 17. Questo comporta che tutti i clienti si ritrovino alla stessa ora e si perda molto tempo per attendere il proprio turno (se si riesce a cap
Si,No,No,9,,9,9,No,8,No,"Ho acquistato il pacchetto per 3 anni di tagliandi ordinari. Portata la moto per eseguire il tagliando e ho dovuto pagare 32€ per smaltimento olio, così mi è stato detto.Gentilmente se mi spieghereste dove sta il risparmio anticipando 3 anni di costo  tag"
Si,No,No,10,,10,10,Si,1,Si,Soddisfatto in tutto
No,Si,No,9,,9,8,,8,No,"Non sono soddisfatto perché ho una sportage da 4 mese e sono già stata in concessionaria 3 volte per il fap intasato mi è uscita anche la spia del motore, dopo 2 mesi a batteria mi ha lasciato a piedi, ogni tanto non si accende il display, io sono convint"
Si,No,No,10,,10,10,No,10,Si,Non mi hanno presentato un preventivo perché si trattava di una assistenza gratuita compresa nel pacchetto
No,No,Si,9,No,9,9,Si,9,No,Ho l'auto in garanzia ma purtroppo con la spia quad sempre la spia motore accesa è rimasta nella vostra officina alcuni mesi senza sapere il motivo dell'avaria. Anche nei prossimi giorni dovrò riportare la mia auto per sostituire alcuni pezzi in officina
Si,No,No,10,,10,10,Si,10,Si,"Personale gentile ,accogliente e preparato."
No,No,Si,10,No,10,10,Si,10,No,Soluzione ancora non trovata
Si,No,No,9,,10,10,Si,9,No,"Buongiorno,  non mi sento di dare un 10 Solamente per l'attesa della manutenzione dei 1000 km. Arrivato alle 14... come accordi Ritirato la moto dopo le 16.. mi era stato detto un oretta..."
Si,No,No,10,,10,10,Si,10,Si,In alto ho messo manutenzione ma in realtà sono venuta a ritirare la macchina che ho comprato
Si,Si,No,6,,8,5,Si,1,No,"Mi sarei aspettato più serietà e precisione sopratutto dalla persona che ha gestito il mio appuntamento, non era per niente preparato ma probabilmente era abbastanza distratto, tempi di lvorazione dell'auto inesistenti e sono rimasto completamente disorga"
Si,No,Si,10,Si,10,10,Si,10,Si,Sono stato contattato direttamente dal concessionario per manutenzione ordinaria cambio pastiglie All’arrivo in concessionaria la ragazza mi ha spiegato importo e tipo di lavorazione Sono soddisfatto
No,Si,No,9,,10,9,,10,Si,ringrazio il personale settore officina e di tutto il suo staff
Si,No,No,9,,9,9,No,9,No,Ho avuto difficoltà per prendere l’appuntamento . Ho dovuto recarmi di persona alla vostra officina per ottenerlo
Si,No,No,10,,10,10,Si,10,Si,"Mi sono trovato molto bene, non ho critiche o consigli"
No,No,Si,10,Si,10,10,No,10,No,Nessuno
No,No,Si,10,Si,10,10,Si,8,No,Prezzi esosi per componenti normali
Si,No,No,10,,10,10,Si,10,Si,Lavoro e trattamento molto soddisfacenti
No,No,Si,6,Si,10,4,Si,6,No,"I tempi sono stati molto lunghi, è stato difficile avere le informazioni, il dipendente da cui sono stata seguita è stato molto gentile, ma l organizzazione, i tempi e i costi non mi hanno lasciata affatto soddisfatta"
Si,No,No,8,,8,10,Si,8,No,Buongiorno sempre tute le  volte  che porto  la macchina a fare tagliando dico che  autolavaggio e rotto ma no e vero perché stavo  aspettando taxi o visto che funziona  forse  per noi no funziona perché stiamo stranieri sono rimasto molto deluso del trat
Si,No,No,2,,6,6,Si,6,No,A parte  il sig *** sromendo persona molto qualificata e preparata gentilissimo x il resto non consiglierei a nessuno di acquistare una battuta da autotorino visto la mia pessima esperienze a partire dal venditore  proprio zero  e per la consegna dell
No,No,Si,10,Si,10,10,Si,10,Si,"PERSONALE MOLTO CORTESE ED EFFICIENTE, valutazione del concessionario massima.. Ma più di 3 mesi per un ricambio mi sembrano eccessivi, inoltre ho dovuto pagare una cifra importante sebbene l'auto sia in garanzia del concessionario. Il concessionario mi h"
Si,No,Si,10,Si,10,9,Si,10,Si,"maggiore trasparenza condizioni di garanzia usato lato vendita (davvero pessima) officina ottima, veloci, efficienti, chiari, appassionati accettazione officina da 10 e lode, non 10 grazie"
Si,No,No,10,,10,10,Si,10,Si,Personale gentile e competente
Si,No,No,10,,10,10,Si,10,Si,Anche questa volta Autotorino si è dimostrata una concessionaria professionale e affidabile. Un ringraziamento a *** per la disponibilità e cortesia nel consegnarmi la macchina in mattinata.
No,Si,No,10,,10,10,,10,Si,Cortesia e puntualità
Si,No,No,10,,10,10,Si,10,Si,"Concessionaria ottima sia per il personale preparato e sempre disponibile, che per le offerte proposte. Il TOP!!!"
No,Si,No,7,,5,5,,3,No,Insoddisfatto di AUTOTORINO
Si,No,No,10,,10,10,Si,10,No,Al solito prezzi troppo elevati.. non è possibile STRAPAGARE!! Ogni volta che provvedo per una semplice manutenzione. Penso che la prossima volta andrò in qualche altra e buona officina privata. Parere mio e di qualche altro mio amico! Mi spiace. Ringrazi
No,No,Si,10,No,10,10,Si,10,Si,Forse nei tempi di attesa
Si,No,No,10,,10,10,Si,10,Si,Nessuno
No,No,Si,10,Si,10,10,No,10,Si,Disponibilità di auto cortesia o in sostituzione per il tempo di lavoro con un prezzo agevolato
Si,No,No,2,,4,10,Si,4,No,"quando ho prenotato il tagliando (5 telefonate per malfunzionamenti delle vostre linee) non mi è stato richiesto il codice del tagliando, con il risultato che i pezzi non erano disponibili al momento dell'accettazione, durata 45 minuti perchè non funziona"
No,Si,No,6,,10,8,,4,No,Per una mercedes in garanzia acquistata con polizza kasko per non avere nessuna spesa ed ogni assistenza mi aspettavo un trattamento migliore Nelle mie precedenti esperienze mercedes quando c'era la germacar mi sentivo molto più garantito
No,Si,No,10,,10,10,,10,Si,"Intervento in garanzia per sostituzione batteria R12GS. Assistenza perfetta come sempre! Molto bello il video che fa vedere l'inizio della lavorazione, complimenti."
Si,Si,No,9,,10,10,Si,10,No,Qualche giorno dopo aver effettuato il tagliando l'auto si è fermata : batteria scarica. Non lo ritengo normale.
Si,No,No,10,,10,10,Si,10,Si,Top
No,Si,No,9,,9,9,,9,Si,Avevo appuntamento alle 9:30 e sono stato seguito dopo 30 minuti di attesa . Comunque personalmente gentilissimo e buona spiegazione dell intervento eseguito
No,No,Si,10,Si,10,10,Si,10,-,Mi son trovato sempre bene l’ultima volta che sono stato mi ha risolto tutti problemi ***. Grazie mille
No,No,Si,10,Si,10,10,Si,10,Si,Problema al clima già da auto nuova mai risolto da Autotorino sede di Vercelli sono andato in quella di Biella dove mi hanno trovato subito il problema e penso che sia risolto. E comunque la sede di Vercelli devono avere più attenzioni e riguardo verso i
Si,No,No,8,,6,10,Si,8,No,Costo manodopera troppo elevato. Non è giustificabile.
No,No,Si,10,Si,10,10,Si,10,Si,Tutto è andato bene
Si,No,No,10,,10,10,Si,10,Si,Soddisfatti così
Si,No,No,10,,10,10,No,10,Si,"Auto con pacchetto manutenzione non ho dovuto pagare nulla.Mi anno consigliato di procedere alla sostituzione della batteria auto, perché nei prossimi freddi potrebbe non partire."
Si,No,No,10,,10,10,Si,10,Si,Top
Si,No,No,10,,10,10,Si,10,Si,Un po' cari 😁
Si,No,No,9,,9,9,Si,9,Si,Sono rimasto soddisfatto
Si,No,No,10,,10,10,Si,9,No,"Ottima accoglienza, personale spiega con pazienza e calma. Ottima esperienza che non ha eguali"
Si,No,No,8,,10,9,Si,9,No,Costi troppo elevati.
Si,No,No,10,,10,10,Si,10,Si,"Mi sono trovato molto bene , il lavoro è stato effettuato in modo rapidissimo , sono sicuro che continuerò a scegliere voi!"
No,No,Si,10,Si,10,10,Si,10,Si,Tutto ok
Si,No,No,10,,10,10,Si,10,Si,"Ho dato un 10 convinto per la cortesia e la puntualità. Per quanto riguarda i costi, il 10 è sulla fiducia non avendo un punto di riferimento."
Si,No,No,10,,10,10,Si,10,Si,Sempre eccellenti
Si,No,No,10,,10,10,Si,9,Si,sono cliente da 11 anni e mi sono trovato molto bene x questo ci resto
Si,No,No,9,,9,10,Si,10,Si,"Vista la difficoltà di parcheggio nell’area accettazione , se non possibile incrementarla, sarebbe gradita maggiore segnalazione."
No,Si,No,10,,10,10,,10,Si,*** veramente bravissima e professionale
No,Si,No,9,,9,9,,9,Si,Anche se dovevo avere l’auto di cortesia ma purtroppo per motivi non so di cosa non ho potuto usufruirne
Si,No,No,10,,10,10,Si,10,Si,Molto gentili e professionali
Si,No,No,9,,9,9,Si,9,Si,"Avevo la revisione è scaduta e avete tenuto la macchina per due giorni con il relativo libretto, quindi avevate i dati della revisione sottomano. Non sono stato avvertito e sono stato mandato a casa con la macchina e la revisione scaduta. Professionalità"
Si,No,No,8,,8,9,Si,8,No,"Preventivo esoso poi in fase di pagamento dopo richiesta mi è stato fatto un piccolo sconto. Appuntamento  fissato alle 8, arrivo alle 7:45 e quasi tutti i posteggi riservati ai clienti occupati da riparazioni o demo.Aprono le porte alle 8 con già diversi"
No,Si,No,9,,10,10,,10,Si,Tutto bene grazie
Si,No,No,10,,10,10,Si,10,Si,Siamo stati molto soddisfatti per le spiegazioni che ci ha fornito il ragazzo alle nostre domande. Molto competente.
No,Si,No,10,,10,10,,10,Si,"Grazie soprattutto al Sig.*** auto Torino BMW vigevano,sempre gentile e disponibile"
Si,No,No,1,,9,9,No,1,No,"Mi è stato addebitato il costo delle pastiglie freni senza avvisarmi che solo questo tipo di intervento non era incluso, senza neanche fornirmi un preventivo. Davvero assurdo!!"
Si,No,No,10,,10,9,Si,9,Si,"Fondamentalmente soddisfatta, eccetto per il problema sulla App Mytoyota che non mi dà lo stato dell' auto. Subito dopo il tagliando ha funzionato, ma dopo un paio d'ore è tornato come prima : non è che posso andare tutti i giorni dai vostri meccanici. Ve"
No,No,Si,9,Si,9,9,Si,9,No,"Ho portato auto per sistemazione grandine e mi aspettavo di trovarla pulita , come sempre è successo nei precedenti carrozzieri , invece i tappetini erano molto più sporchi e sulla carrozzeria , ovviamente aggiustata , si vedevano le mzone del tira bolle"
Si,No,No,8,,10,9,Si,9,Si,Accoglienza e disponibilità da parte di tutti Grazie
No,Si,No,10,,10,10,,10,Si,Gentili come sempre
Si,Si,No,1,,1,1,No,1,No,"Buongiorno, Parto dal presupposto che è follia che per prendere un posto per un tagliando ho dovuto effettuare 10 chiamate perché è un continuo rimbalzare colpe e responsabilità tra il servizio clienti e l'officina. La cosa però davvero assurda e fastidio"
Si,No,No,10,,10,10,Si,10,Si,Tutto ok grazie
No,No,Si,10,Si,10,10,Si,10,Si,Staf Autotorino nember one
Si,No,No,6,,6,6,No,9,No,Persone al telefono gentilissime. Spiegazione del video sembrava con velocità 2x. Per il resto interventi Toyota secondo programma. I costi sono chiaramente indirizzati a fare utili importanti (vedi sanificazione abitacolo 26€)
No,No,Si,9,No,9,8,No,9,No,"Buongiorno, io penso che consegnare l'auto per la riparazione alle 10,30 vuol dire far perdere l'intera mattinata di lavoro a me e a mia moglie che è venuta a riprendermi. Quindi consapevole che non è semplice gestire i ritiri,preferirei consegnare l'auto"
Si,No,No,10,,10,10,No,10,Si,"Il servizio è stato effettuato con competenza e disponibilità del personale, sempre ""sul pezzo"". Grazie"
Si,No,No,9,,9,9,Si,9,Si,Come sempre soddisfatto!
Si,No,No,10,,10,10,Si,10,Si,"Accolto dal Responsabile Motorrad  sig. ***. Sono anni che mi avvalgo dell'officina BMW sempre con la stessa persona. Ritengo che sia un professionista serio,  la garanzia e serietà della manutenzione BMW lo si nota dell'accoglienza solare con la massi"
No,No,Si,2,No,10,10,Si,2,No,Sono venuto da voi per far sostituire una lampadina della freccia posteriore della mia slk. Risultato? Speso 1400 euro per una centralina e mi trovo la macchina con la spia accesa di avaria motore che prima non aveva. Chiedo di sapere come mai e mi viene
Si,No,No,10,,10,10,Si,10,Si,"Ho recentemente sottoscritto un contratto di manutenzione per 4 tagliandi (***). Durante la manutenzione ho fatto riempire il serbatoio dell’AD blue, e mi è costato 67€ comprensivi di 16€ più iva di mano d’opera. Onestamente mi sembra eccessivo sia"
Si,No,No,10,,10,10,Si,10,Si,"Al momento sono soddisfatta, anche se mi si è presentato un piccolo intoppo, che, spero, non si ripeta"
No,No,Si,6,Si,4,4,Si,4,No,A confronto delle altre volte sta volte questa volte questa volta non sono stato tanto sodisfatto in piu un cliente Bisognerebbe andare incotro
Si,No,No,10,,10,10,No,10,No,"Non posso dare 5 al questionario Mercedes che mi arriverà perché, a parte che non mi hanno chiamato per dirmi che l'auto era pronta, non mi hanno avvisato che le gomme dietro erano rovinate, se non quando mi sono presentato per il ritiro dell'auto (poteva"
Si,No,No,8,,10,6,Si,6,No,Tagliandi costosi
Si,No,No,10,,10,10,Si,10,Si,Professionalità e cortesia
Si,No,No,10,,10,8,Si,10,Si,"Personale di front Office molto disponibile e cordiale. Attenzione ad alcuni costi ,oltre al costo non basso del tagliando ,pagato una ricarica di AD Blue un prezzo troppo alto . Grazie Cordiali saluti ***"
No,No,Si,10,Si,10,10,Si,10,Si,Ringrazio molto il signor *** per l’assistenza puntuale riservatami e l’attenzione prestata alla mia pratica. ***
Si,No,No,9,,9,9,Si,9,No,Prestazioni care
Si,No,No,10,,10,10,Si,10,Si,"Purtroppo nell’ultimo periodo Autotorino a *** ha perso già 3 persone ***, molto brava competente e in gamba, ***, che ha diretto sempre in maniera illuminata la filiale, e a breve perderà *** che andrà in pensione"
Si,No,No,9,,9,9,Si,9,No,Il servizio poteva essere da voto 10 se ci fosse stato un controllo della pressione delle gomme che era segnalato dal display
No,Si,No,10,,10,10,,10,Si,Molto bravo ***
Si,No,No,8,,9,9,Si,9,No,Come è già successo l' anno scorso ho riavuto un gocciolamento nel posto passeggero dovuto al condizionatore d'aria.
No,No,Si,9,Si,9,9,Si,9,No,"Preferivo la precedente posizione dello stabilimento a ***. Abitando a ***, se devo lasciare l'auto per lavori più lunghi della mattinata mi trovo in difficoltà per il rientro a casa."
Si,No,No,9,,9,9,Si,9,No,Troppo caro per un tagliando ordinario
Si,No,No,10,,10,9,Si,10,No,"Se il tagliando lo eseguite in circa 1 ora e 15 minuti, e il costo della mano d'opera è di 1.70.... i conti non tornano."
Si,No,No,10,,10,10,Si,10,Si,Tutto ok
Si,No,No,10,,10,10,Si,10,Si,Ottimo trattamento
Si,No,No,10,,10,10,Si,10,Si,Sono stato accolto con cortesia e chiarezza.
Si,No,No,9,,8,9,No,7,-,280 euro di tagliando in una macchina nuova mi sembra esagerato. Pensavo che nei primi due anni non fosse a carico o perlomeno non con questi costi.
No,No,Si,10,Si,10,9,Si,10,Si,Personale cordiale e disponibile.
Si,No,No,10,,10,10,Si,10,Si,Accoglienza puntuale e gentile. Spiegazioni chiare ed esaustive. Tempi di riconsegna confermati. Grazie.
Si,No,No,4,,10,9,Si,10,No,Il mio disappunto è solo per quanto riguarda la vendita della vettura non sono stati rispettate le tempistiche di consegna da giugno a metà settembre invece per quanto riguarda il personale di manutenzione posso solo dire che sono stati tutti gentili e pr
Si,No,No,9,,10,10,Si,10,No,Vi darei 9 di voto il prezzo lo reputo eccessivo per un tagliando come per altri concessionari autorizzati
Si,No,No,9,,9,9,Si,7,No,Costi secondi tagliando troppo alti
Si,No,No,9,,10,9,Si,9,Si,"Tagliando troppo costoso, rivedere le tariffe in quanto ai tagliandi precedenti ho speso 130 euro in meno."
Si,No,No,10,,10,10,Si,10,Si,Personale ECCELLENTE..
No,No,No,9,,9,9,,9,Si,Ho comprato il pick -up nuovo ed è il secondo e mi sono sempre trovato bene
Si,No,No,9,,9,9,Si,9,Si,"Posso solo suggerire, se possibile, di abbassare i costi dei tagliandi. Per il resto siete seri e affidabili."
Si,No,No,10,,10,10,Si,10,Si,"Maggiore disponibilità delle auto sostitutive ""di cortesia"""
No,No,Si,4,No,4,6,Si,6,No,Ho segnalato più volte telefonicamente ad Autotorino  la presenza della spia relativa al malfunzionamento della batteria 12 volt della mia auto- ho chiesto che mi anticipassero l’appuntamento  per la verifica del problema - la mia auto si è bloccata per s
Si,No,No,10,,10,10,No,10,Si,Tutto a posto grazie
No,No,Si,10,Si,10,10,No,10,Si,Migliorare i tempi dell’accettazione
No,No,Si,10,Si,10,10,Si,10,Si,Personale competente e disponibile
No,No,Si,8,Si,4,4,Si,4,No,Servizio scadente.
Si,No,No,2,,8,10,Si,10,Si,"Per la nuova sede in ***, che è esageratamente fuori mano per me, non è stato previsto alcuno aiuto per il collegamento con la fermata del mezzo pubblico peraltro collocata in posizione pericolosa per il pedone."
Si,No,No,10,,10,10,Si,10,Si,GENTILI E MOLTO PROFESIONALI!
No,Si,No,9,,9,9,,9,Si,"Professionisti come sempre. Poi la gentilezza di tutte le persone che lavorano, fanno ancora di più la differenza. Marchio TOP."
No,No,Si,10,No,10,8,No,6,No,Purtroppo dopo vari tentativi e soste in officina il problema non è stato risolto
No,Si,No,10,,9,9,,9,Si,Bravi
Si,Si,No,9,,9,9,Si,9,Si,Bisogna che siate più elastici sugli orari di accettazione quando bisogna lasciare la macchina perché non sempre (es.causa lavoro)si riesce a rispettare l’orario di consegna
No,No,Si,5,Si,6,2,Si,10,No,"Il magazzino non aveva la batteria ,in Garanzia, da sostituirmi.Non ho avuto diritto di auto sostitutiva ne da Unipol né da concessionaria : lavoro inferiore alle 24 ore.... Vero,era solo una batteria,ma lais Yaris cross di 28 mesi e6 stata comunque ferma"
Si,No,No,9,,9,9,Si,9,No,È gradito maggior rispetto dell'appuntamento (concordato appuntamento h.10.15 inizio tagliando h.11)
Si,No,No,9,,9,9,Si,9,No,Sono aumentati i prezzi.
Si,No,No,8,,9,4,No,6,No,Quest’anno i tempi di attesa per avere un appuntamento sono stati troppo lunghi malgrado aver chiamato in largo anticipo . I costi sono veramente eccessivi .
No,Si,No,10,,10,10,,10,Si,Sarebbe consigliabile mantenere (se possibile) lo stesso consulente che già conosce la storia dell’intervento richiesto (nel caso di riparazione )
